Title,Price,Details,URL
Athurugiriya Brand-New Single-Story Family Home with Modern Amenities,"Rs 32,500,000","Bedrooms: 3, Bathrooms: 3",https://ikman.lk/en/ad/athurugiriya-brand-new-single-story-family-home-with-modern-amenities-for-sale-colombo
2 Story House For Sale In Kottawa - CH1524,"Rs 32,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/2-story-house-for-sale-in-kottawa-ch1524-for-sale-colombo-13
Luxury House for Sale in Kumbuka,"Rs 26,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/luxury-house-for-sale-in-kumbuka-for-sale-colombo-6
කදාන–ගනේමුල්ල පාරට මීටර් 50ක් පමණ ආසන්නව නිවසක්,"Rs 15,300,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/kdaan-gneemull-paartt-miittr-50k-pmnn-aasnnv-nivsk-for-sale-gampaha
Brand-New Luxury 2-Story House for Sale – Battaramulla,"Rs 95,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/brand-new-luxury-2-story-house-for-sale-battaramulla-for-sale-colombo-20
3 Beds house sale in Seeduwa,"Rs 8,500,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/3-beds-house-sale-in-seeduwa-for-sale-gampaha-2
Near Panadura Town 300m House for Sale,"Rs 45,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/near-panadura-town-300m-house-for-sale-for-sale-kalutara
House for Sale in Kalagediena,"Rs 18,500,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/house-for-sale-in-kalagediena-for-sale-gampaha-1
Luxury Brand New House For Sale Malabe,"Rs 62,500,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/luxury-brand-new-house-for-sale-malabe-for-sale-colombo-5
"Luxury House Sale Pannipitiya, Maharagama. (ID: ANDH001A)","Rs 43,900,000","Bedrooms: 2, Bathrooms: 3",https://ikman.lk/en/ad/luxury-house-sale-pannipitiya-maharagama-id-andh001a-for-sale-colombo-1
FEATURED,"Rs 57,500,000",+17,https://ikman.lk/en/ad/house-for-sale-in-panadura-for-sale-kalutara-2342
Luxurious Two Story 6 Br House for Sale in Thalawathugoda,"Rs 70,000,000","Bedrooms: 6, Bathrooms: 4",https://ikman.lk/en/ad/luxurious-two-story-6-br-house-for-sale-in-thalawathugoda-for-sale-colombo
House for Sale in Malabe,"Rs 50,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-in-malabe-for-sale-colombo-3706
House for sale in Piliyandala,"Rs 35,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/house-for-sale-in-piliyandala-for-sale-colombo-8158
